group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
deserialize_signature,,,,,983300.0,ns,2401
deserialize_signature,,,,,1938900.0,ns,4802
deserialize_signature,,,,,2913400.0,ns,7203
deserialize_signature,,,,,4257700.0,ns,9604
deserialize_signature,,,,,4824400.0,ns,12005
deserialize_signature,,,,,6287900.0,ns,14406
deserialize_signature,,,,,7083400.0,ns,16807
deserialize_signature,,,,,8192000.0,ns,19208
deserialize_signature,,,,,9058100.0,ns,21609
deserialize_signature,,,,,9935600.0,ns,24010
deserialize_signature,,,,,10749100.0,ns,26411
deserialize_signature,,,,,11594800.0,ns,28812
deserialize_signature,,,,,12746400.0,ns,31213
deserialize_signature,,,,,13653500.0,ns,33614
deserialize_signature,,,,,14698400.0,ns,36015
deserialize_signature,,,,,15741300.0,ns,38416
deserialize_signature,,,,,16471000.0,ns,40817
deserialize_signature,,,,,17624700.0,ns,43218
deserialize_signature,,,,,18362600.0,ns,45619
deserialize_signature,,,,,19321100.0,ns,48020
deserialize_signature,,,,,20565600.0,ns,50421
deserialize_signature,,,,,21196800.0,ns,52822
deserialize_signature,,,,,23298900.0,ns,55223
deserialize_signature,,,,,23993500.0,ns,57624
deserialize_signature,,,,,24383500.0,ns,60025
deserialize_signature,,,,,26045700.0,ns,62426
deserialize_signature,,,,,26756000.0,ns,64827
deserialize_signature,,,,,27735500.0,ns,67228
deserialize_signature,,,,,28021000.0,ns,69629
deserialize_signature,,,,,29027100.0,ns,72030
deserialize_signature,,,,,30238300.0,ns,74431
deserialize_signature,,,,,31509900.0,ns,76832
deserialize_signature,,,,,32559600.0,ns,79233
deserialize_signature,,,,,33554000.0,ns,81634
deserialize_signature,,,,,34098100.0,ns,84035
deserialize_signature,,,,,35114100.0,ns,86436
deserialize_signature,,,,,35344300.0,ns,88837
deserialize_signature,,,,,36439200.0,ns,91238
deserialize_signature,,,,,37823500.0,ns,93639
deserialize_signature,,,,,39029100.0,ns,96040
deserialize_signature,,,,,40721700.0,ns,98441
deserialize_signature,,,,,41607200.0,ns,100842
deserialize_signature,,,,,42074000.0,ns,103243
deserialize_signature,,,,,42743500.0,ns,105644
deserialize_signature,,,,,44709900.0,ns,108045
deserialize_signature,,,,,45094200.0,ns,110446
deserialize_signature,,,,,45846800.0,ns,112847
deserialize_signature,,,,,46974200.0,ns,115248
deserialize_signature,,,,,48415000.0,ns,117649
deserialize_signature,,,,,49158900.0,ns,120050
deserialize_signature,,,,,51361700.0,ns,122451
deserialize_signature,,,,,50405300.0,ns,124852
deserialize_signature,,,,,51501300.0,ns,127253
deserialize_signature,,,,,52296200.0,ns,129654
deserialize_signature,,,,,53776600.0,ns,132055
deserialize_signature,,,,,54659800.0,ns,134456
deserialize_signature,,,,,56796500.0,ns,136857
deserialize_signature,,,,,56496600.0,ns,139258
deserialize_signature,,,,,57470800.0,ns,141659
deserialize_signature,,,,,60218600.0,ns,144060
deserialize_signature,,,,,63109800.0,ns,146461
deserialize_signature,,,,,62658400.0,ns,148862
deserialize_signature,,,,,62485900.0,ns,151263
deserialize_signature,,,,,64875800.0,ns,153664
deserialize_signature,,,,,65729800.0,ns,156065
deserialize_signature,,,,,64922600.0,ns,158466
deserialize_signature,,,,,66452300.0,ns,160867
deserialize_signature,,,,,67028100.0,ns,163268
deserialize_signature,,,,,68365600.0,ns,165669
deserialize_signature,,,,,69536400.0,ns,168070
deserialize_signature,,,,,70283900.0,ns,170471
deserialize_signature,,,,,71335500.0,ns,172872
deserialize_signature,,,,,72578000.0,ns,175273
deserialize_signature,,,,,75484800.0,ns,177674
deserialize_signature,,,,,76009500.0,ns,180075
deserialize_signature,,,,,75330200.0,ns,182476
deserialize_signature,,,,,76999000.0,ns,184877
deserialize_signature,,,,,78816400.0,ns,187278
deserialize_signature,,,,,76698800.0,ns,189679
deserialize_signature,,,,,79432500.0,ns,192080
deserialize_signature,,,,,80904100.0,ns,194481
deserialize_signature,,,,,81295600.0,ns,196882
deserialize_signature,,,,,85220800.0,ns,199283
deserialize_signature,,,,,87580900.0,ns,201684
deserialize_signature,,,,,87140100.0,ns,204085
deserialize_signature,,,,,90055500.0,ns,206486
deserialize_signature,,,,,100420100.0,ns,208887
deserialize_signature,,,,,90467700.0,ns,211288
deserialize_signature,,,,,91304300.0,ns,213689
deserialize_signature,,,,,93383000.0,ns,216090
deserialize_signature,,,,,93386300.0,ns,218491
deserialize_signature,,,,,94118300.0,ns,220892
deserialize_signature,,,,,94140400.0,ns,223293
deserialize_signature,,,,,94554400.0,ns,225694
deserialize_signature,,,,,93070400.0,ns,228095
deserialize_signature,,,,,96307100.0,ns,230496
deserialize_signature,,,,,99360000.0,ns,232897
deserialize_signature,,,,,98087600.0,ns,235298
deserialize_signature,,,,,100389800.0,ns,237699
deserialize_signature,,,,,102966800.0,ns,240100
