group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
file_creation,,,,,1252400.0,ns,2
file_creation,,,,,2776900.0,ns,4
file_creation,,,,,3847500.0,ns,6
file_creation,,,,,5442300.0,ns,8
file_creation,,,,,22669300.0,ns,10
file_creation,,,,,9090000.0,ns,12
file_creation,,,,,10651300.0,ns,14
file_creation,,,,,10501100.0,ns,16
file_creation,,,,,12006700.0,ns,18
file_creation,,,,,13481400.0,ns,20
file_creation,,,,,14324800.0,ns,22
file_creation,,,,,16395300.0,ns,24
file_creation,,,,,17032600.0,ns,26
file_creation,,,,,19533900.0,ns,28
file_creation,,,,,20880500.0,ns,30
file_creation,,,,,20910600.0,ns,32
file_creation,,,,,22222800.0,ns,34
file_creation,,,,,24590300.0,ns,36
file_creation,,,,,35967500.0,ns,38
file_creation,,,,,27699100.0,ns,40
file_creation,,,,,27801600.0,ns,42
file_creation,,,,,28608300.0,ns,44
file_creation,,,,,30234200.0,ns,46
file_creation,,,,,33397900.0,ns,48
file_creation,,,,,33982600.0,ns,50
file_creation,,,,,34627600.0,ns,52
file_creation,,,,,38219900.0,ns,54
file_creation,,,,,37603600.0,ns,56
file_creation,,,,,39835500.0,ns,58
file_creation,,,,,39776100.0,ns,60
file_creation,,,,,43090100.0,ns,62
file_creation,,,,,41295600.0,ns,64
file_creation,,,,,60677900.0,ns,66
file_creation,,,,,46076700.0,ns,68
file_creation,,,,,46278800.0,ns,70
file_creation,,,,,47086600.0,ns,72
file_creation,,,,,48768000.0,ns,74
file_creation,,,,,51945100.0,ns,76
file_creation,,,,,50311100.0,ns,78
file_creation,,,,,53865100.0,ns,80
file_creation,,,,,55211700.0,ns,82
file_creation,,,,,56458900.0,ns,84
file_creation,,,,,57444300.0,ns,86
file_creation,,,,,57221000.0,ns,88
file_creation,,,,,59899700.0,ns,90
file_creation,,,,,60935500.0,ns,92
file_creation,,,,,68768800.0,ns,94
file_creation,,,,,66175800.0,ns,96
file_creation,,,,,64923200.0,ns,98
file_creation,,,,,65314100.0,ns,100
file_creation,,,,,70691400.0,ns,102
file_creation,,,,,69001700.0,ns,104
file_creation,,,,,72510200.0,ns,106
file_creation,,,,,80187200.0,ns,108
file_creation,,,,,73379100.0,ns,110
file_creation,,,,,74190100.0,ns,112
file_creation,,,,,76295200.0,ns,114
file_creation,,,,,78584400.0,ns,116
file_creation,,,,,77426000.0,ns,118
file_creation,,,,,78759400.0,ns,120
file_creation,,,,,81951900.0,ns,122
file_creation,,,,,82019000.0,ns,124
file_creation,,,,,82596000.0,ns,126
file_creation,,,,,99444000.0,ns,128
file_creation,,,,,83973400.0,ns,130
file_creation,,,,,88373400.0,ns,132
file_creation,,,,,93293300.0,ns,134
file_creation,,,,,89721800.0,ns,136
file_creation,,,,,107700500.0,ns,138
file_creation,,,,,92195700.0,ns,140
file_creation,,,,,94690100.0,ns,142
file_creation,,,,,110809700.0,ns,144
file_creation,,,,,98243200.0,ns,146
file_creation,,,,,101166800.0,ns,148
file_creation,,,,,98299900.0,ns,150
file_creation,,,,,98338100.0,ns,152
file_creation,,,,,109923700.0,ns,154
file_creation,,,,,101760400.0,ns,156
file_creation,,,,,105120800.0,ns,158
file_creation,,,,,106915000.0,ns,160
file_creation,,,,,120555300.0,ns,162
file_creation,,,,,222157300.0,ns,164
file_creation,,,,,139883700.0,ns,166
file_creation,,,,,110659500.0,ns,168
file_creation,,,,,112493100.0,ns,170
file_creation,,,,,118845400.0,ns,172
file_creation,,,,,114315700.0,ns,174
file_creation,,,,,118406500.0,ns,176
file_creation,,,,,117718100.0,ns,178
file_creation,,,,,123983000.0,ns,180
file_creation,,,,,121738500.0,ns,182
file_creation,,,,,124760700.0,ns,184
file_creation,,,,,123778600.0,ns,186
file_creation,,,,,127419900.0,ns,188
file_creation,,,,,127366100.0,ns,190
file_creation,,,,,128960500.0,ns,192
file_creation,,,,,128740600.0,ns,194
file_creation,,,,,133461800.0,ns,196
file_creation,,,,,130614800.0,ns,198
file_creation,,,,,135508800.0,ns,200
