group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
recreate_tx_message,,,,,1352200.0,ns,771
recreate_tx_message,,,,,1980200.0,ns,1542
recreate_tx_message,,,,,2985500.0,ns,2313
recreate_tx_message,,,,,4230000.0,ns,3084
recreate_tx_message,,,,,5174600.0,ns,3855
recreate_tx_message,,,,,6587800.0,ns,4626
recreate_tx_message,,,,,7154100.0,ns,5397
recreate_tx_message,,,,,7988100.0,ns,6168
recreate_tx_message,,,,,8815500.0,ns,6939
recreate_tx_message,,,,,10047400.0,ns,7710
recreate_tx_message,,,,,10757900.0,ns,8481
recreate_tx_message,,,,,11575300.0,ns,9252
recreate_tx_message,,,,,12697200.0,ns,10023
recreate_tx_message,,,,,14086000.0,ns,10794
recreate_tx_message,,,,,14704500.0,ns,11565
recreate_tx_message,,,,,15828300.0,ns,12336
recreate_tx_message,,,,,16813300.0,ns,13107
recreate_tx_message,,,,,17746500.0,ns,13878
recreate_tx_message,,,,,19242100.0,ns,14649
recreate_tx_message,,,,,20223900.0,ns,15420
recreate_tx_message,,,,,21236700.0,ns,16191
recreate_tx_message,,,,,22179200.0,ns,16962
recreate_tx_message,,,,,22894200.0,ns,17733
recreate_tx_message,,,,,24141600.0,ns,18504
recreate_tx_message,,,,,24788300.0,ns,19275
recreate_tx_message,,,,,26163600.0,ns,20046
recreate_tx_message,,,,,27572800.0,ns,20817
recreate_tx_message,,,,,27867400.0,ns,21588
recreate_tx_message,,,,,30644900.0,ns,22359
recreate_tx_message,,,,,30932900.0,ns,23130
recreate_tx_message,,,,,30848900.0,ns,23901
recreate_tx_message,,,,,31899600.0,ns,24672
recreate_tx_message,,,,,33054800.0,ns,25443
recreate_tx_message,,,,,34114300.0,ns,26214
recreate_tx_message,,,,,35125400.0,ns,26985
recreate_tx_message,,,,,35818000.0,ns,27756
recreate_tx_message,,,,,36545300.0,ns,28527
recreate_tx_message,,,,,39702300.0,ns,29298
recreate_tx_message,,,,,39562200.0,ns,30069
recreate_tx_message,,,,,40553300.0,ns,30840
recreate_tx_message,,,,,42838100.0,ns,31611
recreate_tx_message,,,,,43078700.0,ns,32382
recreate_tx_message,,,,,42665200.0,ns,33153
recreate_tx_message,,,,,44676300.0,ns,33924
recreate_tx_message,,,,,46427500.0,ns,34695
recreate_tx_message,,,,,45734500.0,ns,35466
recreate_tx_message,,,,,47354500.0,ns,36237
recreate_tx_message,,,,,47589700.0,ns,37008
recreate_tx_message,,,,,48616000.0,ns,37779
recreate_tx_message,,,,,49185900.0,ns,38550
recreate_tx_message,,,,,49933200.0,ns,39321
recreate_tx_message,,,,,52015800.0,ns,40092
recreate_tx_message,,,,,55209100.0,ns,40863
recreate_tx_message,,,,,53640300.0,ns,41634
recreate_tx_message,,,,,54984300.0,ns,42405
recreate_tx_message,,,,,55695800.0,ns,43176
recreate_tx_message,,,,,56641300.0,ns,43947
recreate_tx_message,,,,,57455400.0,ns,44718
recreate_tx_message,,,,,58736100.0,ns,45489
recreate_tx_message,,,,,58815300.0,ns,46260
recreate_tx_message,,,,,59537900.0,ns,47031
recreate_tx_message,,,,,61516400.0,ns,47802
recreate_tx_message,,,,,62700200.0,ns,48573
recreate_tx_message,,,,,63502200.0,ns,49344
recreate_tx_message,,,,,64259200.0,ns,50115
recreate_tx_message,,,,,65473600.0,ns,50886
recreate_tx_message,,,,,66653300.0,ns,51657
recreate_tx_message,,,,,68007600.0,ns,52428
recreate_tx_message,,,,,69392200.0,ns,53199
recreate_tx_message,,,,,69549100.0,ns,53970
recreate_tx_message,,,,,70385200.0,ns,54741
recreate_tx_message,,,,,71155300.0,ns,55512
recreate_tx_message,,,,,72180300.0,ns,56283
recreate_tx_message,,,,,73128600.0,ns,57054
recreate_tx_message,,,,,74227600.0,ns,57825
recreate_tx_message,,,,,75935900.0,ns,58596
recreate_tx_message,,,,,75336000.0,ns,59367
recreate_tx_message,,,,,76883800.0,ns,60138
recreate_tx_message,,,,,77448800.0,ns,60909
recreate_tx_message,,,,,78662100.0,ns,61680
recreate_tx_message,,,,,78397300.0,ns,62451
recreate_tx_message,,,,,82113500.0,ns,63222
recreate_tx_message,,,,,82867300.0,ns,63993
recreate_tx_message,,,,,82794300.0,ns,64764
recreate_tx_message,,,,,84347000.0,ns,65535
recreate_tx_message,,,,,83449100.0,ns,66306
recreate_tx_message,,,,,84203900.0,ns,67077
recreate_tx_message,,,,,86466700.0,ns,67848
recreate_tx_message,,,,,91281700.0,ns,68619
recreate_tx_message,,,,,93793900.0,ns,69390
recreate_tx_message,,,,,92576400.0,ns,70161
recreate_tx_message,,,,,89968900.0,ns,70932
recreate_tx_message,,,,,90434900.0,ns,71703
recreate_tx_message,,,,,92108200.0,ns,72474
recreate_tx_message,,,,,92140600.0,ns,73245
recreate_tx_message,,,,,93831300.0,ns,74016
recreate_tx_message,,,,,96193700.0,ns,74787
recreate_tx_message,,,,,99232700.0,ns,75558
recreate_tx_message,,,,,96308300.0,ns,76329
recreate_tx_message,,,,,97153000.0,ns,77100
