group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_tx,,,,,1070400.0,ns,10
single_tx,,,,,2131700.0,ns,20
single_tx,,,,,3197500.0,ns,30
single_tx,,,,,4401300.0,ns,40
single_tx,,,,,5370600.0,ns,50
single_tx,,,,,6572600.0,ns,60
single_tx,,,,,7468000.0,ns,70
single_tx,,,,,8305700.0,ns,80
single_tx,,,,,9232900.0,ns,90
single_tx,,,,,10128700.0,ns,100
single_tx,,,,,11108900.0,ns,110
single_tx,,,,,12139500.0,ns,120
single_tx,,,,,13261700.0,ns,130
single_tx,,,,,15041700.0,ns,140
single_tx,,,,,16015800.0,ns,150
single_tx,,,,,16262600.0,ns,160
single_tx,,,,,18297800.0,ns,170
single_tx,,,,,18817300.0,ns,180
single_tx,,,,,19269700.0,ns,190
single_tx,,,,,20261300.0,ns,200
single_tx,,,,,21210600.0,ns,210
single_tx,,,,,22248400.0,ns,220
single_tx,,,,,23646900.0,ns,230
single_tx,,,,,26333600.0,ns,240
single_tx,,,,,25280100.0,ns,250
single_tx,,,,,26294700.0,ns,260
single_tx,,,,,27892700.0,ns,270
single_tx,,,,,29035300.0,ns,280
single_tx,,,,,29544700.0,ns,290
single_tx,,,,,31222100.0,ns,300
single_tx,,,,,31401700.0,ns,310
single_tx,,,,,32467200.0,ns,320
single_tx,,,,,34006100.0,ns,330
single_tx,,,,,34675700.0,ns,340
single_tx,,,,,36274600.0,ns,350
single_tx,,,,,38247800.0,ns,360
single_tx,,,,,38068300.0,ns,370
single_tx,,,,,38490100.0,ns,380
single_tx,,,,,39555900.0,ns,390
single_tx,,,,,47459100.0,ns,400
single_tx,,,,,56385200.0,ns,410
single_tx,,,,,43547200.0,ns,420
single_tx,,,,,44092400.0,ns,430
single_tx,,,,,45344500.0,ns,440
single_tx,,,,,46101800.0,ns,450
single_tx,,,,,46866700.0,ns,460
single_tx,,,,,47974900.0,ns,470
single_tx,,,,,48964400.0,ns,480
single_tx,,,,,49595500.0,ns,490
single_tx,,,,,53083000.0,ns,500
single_tx,,,,,51524600.0,ns,510
single_tx,,,,,52782400.0,ns,520
single_tx,,,,,55528200.0,ns,530
single_tx,,,,,56108300.0,ns,540
single_tx,,,,,56625300.0,ns,550
single_tx,,,,,58236200.0,ns,560
single_tx,,,,,60560300.0,ns,570
single_tx,,,,,59288600.0,ns,580
single_tx,,,,,61025200.0,ns,590
single_tx,,,,,62141600.0,ns,600
single_tx,,,,,62917400.0,ns,610
single_tx,,,,,64544900.0,ns,620
single_tx,,,,,66749500.0,ns,630
single_tx,,,,,68004100.0,ns,640
single_tx,,,,,70200900.0,ns,650
single_tx,,,,,70400500.0,ns,660
single_tx,,,,,68572600.0,ns,670
single_tx,,,,,69122900.0,ns,680
single_tx,,,,,72740100.0,ns,690
single_tx,,,,,71719300.0,ns,700
single_tx,,,,,76288100.0,ns,710
single_tx,,,,,81612900.0,ns,720
single_tx,,,,,76539900.0,ns,730
single_tx,,,,,76746100.0,ns,740
single_tx,,,,,80055700.0,ns,750
single_tx,,,,,79471700.0,ns,760
single_tx,,,,,85660300.0,ns,770
single_tx,,,,,93534400.0,ns,780
single_tx,,,,,92101400.0,ns,790
single_tx,,,,,94071000.0,ns,800
single_tx,,,,,85202300.0,ns,810
single_tx,,,,,84126700.0,ns,820
single_tx,,,,,85242700.0,ns,830
single_tx,,,,,88891600.0,ns,840
single_tx,,,,,91226700.0,ns,850
single_tx,,,,,88547100.0,ns,860
single_tx,,,,,89992600.0,ns,870
single_tx,,,,,91901800.0,ns,880
single_tx,,,,,92885700.0,ns,890
single_tx,,,,,93026700.0,ns,900
single_tx,,,,,93771200.0,ns,910
single_tx,,,,,95130200.0,ns,920
single_tx,,,,,94968200.0,ns,930
single_tx,,,,,97675000.0,ns,940
single_tx,,,,,100876300.0,ns,950
single_tx,,,,,100891100.0,ns,960
single_tx,,,,,108663200.0,ns,970
single_tx,,,,,105670200.0,ns,980
single_tx,,,,,106614600.0,ns,990
single_tx,,,,,108247900.0,ns,1000
